Level,Recommendations
2,"['design', 'activities', 'based', 'on', 'the', 'results', 'given', 'by', 'the', 'guidance', 'services', 'unit', 'to', 'meet', 'the', 'student', 'needs']"
2,"['as', 'mandated', 'by', 'ra', 'professionalizing', 'the', 'practice', 'of', 'guidance', 'counseling', 'the', 'college', 'may', 'seriously', 'consider', 'hiring', 'a', 'registered', 'guidance', 'counselor']"
2,"['the', 'student', 'publication', 'unit', 'may', 'apply', 'for', 'issn']"
2,"['it', 'is', 'highly', 'recommended', 'that', 'office', 'of', 'the', 'student', 'services', 'may', 'conduct', 'research', 'studies', 'on', 'student', 'needs', 'problems', 'profile', 'etc']"
2,"['program', 'documentation', 'compilation', 'of', 'records', 'on', 'students', 'attendance', 'in', 'school', 'recognized', 'activities', 'should', 'be', 'kept']"
2,"['as', 'students', 'affairs', 'practitioner', 'it', 'is', 'encouraged', 'that', 'coordinatorsstaff', 'of', 'the', 'different', 'students', 'services', 'unit', 'be', 'updated', 'of', 'the', 'latest', 'trends', 'issues', 'by', 'attending', 'trainings', 'and', 'seminars']"
2,"['it', 'is', 'suggested', 'that', 'separate', 'school', 'publication', 'for', 'the', 'college', 'is', 'necessary', 'to', 'document', 'student', 'performance', 'activities', 'and', 'achievements']"
2,"['if', 'funds', 'are', 'available', 'the', 'administration', 'may', 'consider', 'the', 'construction', 'of', 'student', 'center', 'for', 'the', 'college', 'where', 'the', 'program', 'under', 'survey', 'belong', 'may', 'benefit', 'on', 'it']"
2,"['involvement', 'of', 'student', 'in', 'the', 'planning', 'and', 'implementation', 'of', 'program', 'and', 'activities', 'concerning', 'their', 'welfare', 'maybe', 'consider']"
2,"['accreditation', 'documents', 'provided', 'should', 'be', 'self', 'explanatory', 'complete', 'updated', 'well', 'packaged', 'indicating', 'the', 'source', 'reference', 'of', 'the', 'photocopied', 'materials', 'presented', 'as', 'proofsevidences']"
2,"['when', 'possible', 'request', 'of', 'students', 'and', 'other', 'clientele', 'should', 'be', 'given', 'immediate', 'attention', 'by', 'concerned', 'unit', 'faculty', 'and', 'staff', 'in', 'accordance', 'with', 'their', 'approved', 'citizens', 'charter']"
