Level,Recommendations
3,"['involve', 'faculty', 'members', 'in', 'each', 'department', 'in', 'the', 'preliminary', 'revisio', 'computer', 'engineering', 'curriculum', 'students', 'and', 'industry', 'should', 'also', 'be', 'encouraged', 'to', 'participate', 'in', 'the', 'review', 'and', 'revision', 'of', 'curriculum']"
3,"['update', 'course', 'syllbi', 'of', 'all', 'professional', 'subjects', 'to', 'include', 'learning', 'strategies', 'and', 'criteria', 'for', 'grading', 'in', 'the', 'syllabi', 'likewise', 'suggested', 'readings', 'and', 'reference', 'materials', 'should', 'be', 'of', 'recent', 'editions', 'inclusion', 'of', 'websites', 'is', 'an', 'advantage', 'review', 'the', 'number', 'of', 'total', 'required', 'hours', 'of', 'lecture', 'and', 'lectures', 'with', 'lab', 'subjects', 'one', 'hour', 'for', 'every', 'one', 'unit', 'lecture', 'and', 'equivalent', 'three', 'hours', 'for', 'one', 'unit', 'laboratory']"
3,"['establish', 'clear', 'policy', 'on', 'the', 'development', 'of', 'instructional', 'materials', 'also', 'have', 'these', 'materials', 'reviewed', 'and', 'approved', 'by', 'the', 'instructional', 'materials', 'committee']"
3,"['encourage', 'faculty', 'members', 'to', 'produce', 'custommade', 'instructional', 'materials', 'such', 'as', 'powerpoint', 'presentation', 'interactive', 'lectures', 'lb', 'manuals', 'workbooks', 'books', 'and', 'others', 'to', 'their', 'field', 'of', 'specialization']"
3,"['conduct', 'a', 'tracer', 'study', 'to', 'monitor', 'the', 'employability', 'of', 'computer', 'engineering', 'graduates', 'of', 'the', 'university']"
3,"['encourage', 'graduating', 'students', 'to', 'undergo', 'examinations', 'or', 'certification', 'such', 'as', 'civil', 'service', 'exam', 'tesda', 'certification', 'microsoft', 'cisco', 'etc', 'to', 'broaden', 'their', 'job', 'opportunities', 'likewise', 'emphasis', 'importance', 'of', 'intellectual', 'property', 'rights']"
3,"['come', 'up', 'with', 'comprehensive', 'inhouse', 'faculty', 'development', 'program', 'such', 'as', 'trainings', 'seminarsconferences', 'graduate', 'programs', 'etc', 'faculty', 'should', 'apply', 'membership', 'in', 'professional', 'organizations', 'to', 'establish', 'linkages']"
3,"['it', 'would', 'be', 'desirable', 'if', 'the', 'teachermade', 'tests', 'were', 'based', 'on', 'table', 'of', 'specifications', 'tos', 'to', 'ensure', 'that', 'exams', 'are', 'comprehensive', 'valid', 'and', 'reliable', 'measures', 'of', 'students', 'performance']"
3,"['widen', 'linkages', 'to', 'other', 'educationaltraining', 'institutions', 'for', 'the', 'exchangeadoption', 'of', 'instructional', 'materials']"
3,"['prioritize', 'the', 'purchase', 'of', 'licensed', 'softwares', 'used', 'for', 'instructional', 'purposes', 'in', 'the', 'college']"
3,"['students', 'must', 'be', 'given', 'a', 'copy', 'of', 'the', 'course', 'syllabus', 'at', 'the', 'start', 'of', 'each', 'semester']"
3,"['accreditation', 'is', 'documentation', 'compilation', 'of', 'documents', 'pertaining', 'to', 'the', 'involvement', 'of', 'faculty', 'in', 'any', 'itengineering', 'professional', 'organization', 'is', 'a', 'proof', 'of', 'participation']"
