Level ,Recommendations
1,"['the', 'student', 'service', 'division', 'ssd', 'should', 'ensure', 'that', 'allocations', 'for', 'the', 'procurement', 'of', 'more', 'psychological', 'tests', 'are', 'readily', 'available', 'the', 'university', 'psychometrician', 'may', 'be', 'encouraged', 'to', 'undergo', 'training', 'in', 'handling', 'various', 'psychological', 'test', 'so', 'she', 'could', 'be', 'allowed', 'to', 'purchase', 'more']"
1,"['results', 'of', 'the', 'psychological', 'test', 'may', 'be', 'used', 'more', 'productively', 'if', 'these', 'were', 'transmitted', 'immediately', 'to', 'the', 'guidance', 'counsellors', 'who', 'could', 'provide', 'immediate', 'inputcounselling', 'to', 'the', 'students']"
1,"['aside', 'from', 'the', 'offices', 'of', 'the', 'guidance', 'counsellors', 'the', 'student', 'service', 'offices', 'may', 'consider', 'the', 'provision', 'of', 'counselling', 'cubicles', 'in', 'each', 'college', 'counselling', 'unit', 'to', 'ensure', 'privacy', 'during', 'counselling', 'sessions']"
1,"['collaborative', 'tracer', 'studies', 'may', 'be', 'considered', 'as', 'priority', 'studies', 'of', 'the', 'faculty', 'to', 'get', 'feedback', 'on', 'how', 'well', 'the', 'students', 'are', 'performing', 'after', 'their', 'graduation', 'and', 'to', 'get', 'inputs', 'for', 'curricular', 'revisionenrichment']"
1,"['the', 'department', 'chair', 'may', 'consider', 'a', 'system', 'of', 'monitoring', 'on', 'how', 'strictly', 'academic', 'advising', 'and', 'consultation', 'are', 'attended', 'to', 'by', 'the', 'faculty']"
1,"['rehabilitation', 'of', 'the', 'old', 'dormitory', 'may', 'be', 'considered', 'as', 'a', 'top', 'priority', 'so', 'as', 'not', 'to', 'compromise', 'safety', 'and', 'comfort', 'of', 'the', 'residents']"
1,"['the', 'university', 'may', 'consider', 'the', 'upgrading', 'of', 'its', 'sports', 'facilities', 'and', 'equipment', 'to', 'cope', 'up', 'with', 'the', 'requirement', 'of', 'the', 'program', 'the', 'function', 'rooms', 'of', 'the', 'gymnasium', 'may', 'be', 'considered', 'too']"
1,"['the', 'data', 'generated', 'regarding', 'student', 'dropout', 'rate', 'transferees', 'and', 'shifters', 'need', 'to', 'be', 'processed', 'and', 'analysed', 'to', 'provide', 'policy', 'direction', 'to', 'the', 'college', 'administrators']"
1,"['the', 'puttingup', 'of', 'a', 'departmental', 'student', 'publication', 'may', 'be', 'considered', 'to', 'provide', 'students', 'venue', 'for', 'artistic', 'expression', 'and', 'for', 'voicing', 'out', 'their', 'opinions', 'it', 'may', 'also', 'serve', 'as', 'a', 'venue', 'for', 'information', 'dissemination']"
1,"['the', 'university', 'may', 'take', 'as', 'a', 'high', 'priority', 'the', 'provision', 'of', 'drinking', 'fountains', 'to', 'provide', 'students', 'with', 'ready', 'potable', 'water', 'putting', 'up', 'student', 'centres', 'may', 'also', 'be', 'considered', 'in', 'the', 'disbursement', 'of', 'the', 'student', 'development', 'fees']"
1,"['the', 'college', 'deans', 'and', 'department', 'chairpersons', 'are', 'encouraged', 'to', 'communicate', 'the', 'action', 'they', 'have', 'taken', 'regarding', 'issues', 'raised', 'by', 'the', 'students', 'in', 'the', 'studentdean', 'dialogs', 'to', 'promote', 'transparentopen', 'communication', 'between', 'them', 'and', 'the', 'students']"
