Level,Recommendations
3,"['separate', 'hazardous', 'chemicals', 'from', 'commonly', 'used', 'ones', 'there', 'should', 'be', 'a', 'separate', 'storage', 'room', 'for', 'acids', 'or', 'materials', 'that', 'produce', 'fumes']"
3,"['place', 'microscopes', 'in', 'cabinets', 'preferably', 'in', 'airconditioned', 'room', 'and', 'away', 'from', 'chemicals']"
3,"['repaint', 'laboratory', 'rooms']"
3,"['repair', 'the', 'laboratory', 'sink', 'cabinets', 'and', 'drawers', 'as', 'soon', 'as', 'possible', 'likewise', 'immediate', 'repair', 'of', 'other', 'equipment', 'is', 'very', 'important']"
3,"['provide', 'the', 'bs', 'biology', 'students', 'with', 'individual', 'lockers', 'where', 'they', 'can', 'keep', 'their', 'laboratory', 'materials', 'or', 'other', 'materials', 'needed', 'for', 'their', 'studies']"
3,"['hire', 'additional', 'laboratory', 'technician']"
3,"['provide', 'shower', 'area', 'in', 'each', 'laboratory', 'room']"
3,"['treat', 'the', 'chemical', 'wastes', 'properly', 'before', 'disposal']"
3,"['maintain', 'the', 'cleanliness', 'and', 'orderliness', 'of', 'each', 'laboratory']"
3,"['put', 'fire', 'extinguishers', 'in', 'their', 'proper', 'places']"
3,"['laboratory', 'manuals', 'for', 'each', 'subject', 'should', 'also', 'be', 'available', 'in', 'the', 'preparation', 'room']"
3,"['a', 'separate', 'roomoffice', 'near', 'the', 'stockroom', 'should', 'be', 'provided', 'for', 'laboratory', 'technicians', 'to', 'avoid', 'too', 'much', 'exposure', 'to', 'chemicals']"
3,"['the', 'administration', 'may', 'float', 'an', 'idea', 'of', 'giving', 'hazard', 'pay', 'to', 'personnel', 'exposed', 'to', 'various', 'toxic', 'materials', 'and', 'those', 'who', 'are', 'conducting', 'research']"
