Level,Recommendations
1,"['the', 'curriculum', 'committee', 'should', 'sit', 'en', 'banc', 'to', 'rearrange', 'the', 'catalogue', 'numbers', 'of', 'the', 'bstm', 'subjects', 'accordingly']"
1,"['the', 'chair', 'and', 'dean', 'should', 'review', 'the', 'course', 'syllabi', 'prepared', 'by', 'the', 'faculty', 'and', 'have', 'them', 'signed', 'properly']"
1,"['include', 'the', 'vmgo', 'in', 'the', 'term', 'examinations']"
1,"['orient', 'the', 'students', 'at', 'the', 'start', 'of', 'the', 'semestral', 'classes', 'about', 'the', 'subject', 'they', 'are', 'enrolled', 'its', 'scope', 'requirements', 'and', 'grading', 'system']"
1,"['discuss', 'the', 'content', 'of', 'the', 'course', 'syllabus', 'provided', 'to', 'the', 'students', 'during', 'the', 'first', 'day', 'of', 'classes']"
1,"['the', 'faculty', 'authors', 'should', 'always', 'indicate', 'the', 'references', 'used', 'in', 'their', 'instructional', 'manuals', 'and', 'the', 'authors', 'concerned']"
1,"['the', 'instructional', 'manual', 'of', 'a', 'specific', 'subject', 'should', 'always', 'contain', 'an', 'introduction', 'and', 'the', 'subject', 'syllabus', 'appended']"
1,"['the', 'mmsu', 'administration', 'may', 'consider', 'sending', 'the', 'faculty', 'members', 'for', 'training', 'in', 'module', 'or', 'book', 'writing', 'and', 'the', 'like']"
1,"['all', 'faculty', 'should', 'be', 'required', 'to', 'attend', 'a', 'seminarworkshop', 'on', 'test', 'construction']"
1,"['the', 'practicum', 'report', 'should', 'be', 'checkedreviewed', 'by', 'the', 'faculty', 'of', 'the', 'department', 'of', 'tourism', 'and', 'hospitality', 'management', 'to', 'come', 'up', 'with', 'a', 'better', 'and', 'uniform', 'format', 'for', 'this', 'consider', 'the', 'inclusion', 'of', 'title', 'in', 'the', 'hardbound', 'cover', 'acknowledgement', 'biographical', 'sketch', 'table', 'of', 'contents', 'and', 'list', 'of', 'appendices']"
1,"['improve', 'the', 'packaging', 'of', 'documents', 'for', 'accreditation', 'purpose']"
