Level,Recommendations
['psv'],"['the', 'site', 'plantvicinity', 'map', 'near', 'the', 'main', 'gate', 'of', 'the', 'campus', 'should', 'be', 'installed']"
['psv'],"['the', 'students', 'restrooms', 'must', 'be', 'given', 'due', 'attention', 'and', 'priority', 'in', 'the', 'college', 'clean', 'and', 'green', 'projectsactivities']"
['psv'],"['it', 'is', 'suggested', 'to', 'come', 'up', 'with', 'a', 'workable', 'solution', 'as', 'to', 'the', 'provision', 'of', 'continuous', 'and', 'sustainable', 'clean', 'safe', 'and', 'free', 'potable', 'water', 'for', 'the', 'students']"
['psv'],"['it', 'is', 'suggested', 'to', 'continue', 'the', 'construction', 'of', 'covered', 'path', 'walks', 'to', 'connect', 'closely', 'related', 'buildings']"
['psv'],"['while', 'the', 'building', 'in', 'use', 'was', 'co', 'structed', 'for', 'some', 'other', 'purposes', 'it', 'may', 'be', 'nice', 'to', 'relocate', 'some', 'chalk', 'board', 'm', 'some', 'classrooms', 'to', 'allow', 'better', 'lighting', 'and', 'ventilation']"
['psv'],"['a', 'system', 'has', 'to', 'be', 'devised', 'to', 'institutionalize', 'the', 'following']"
['psv'],"['a', 'potability', 'test', 'and', 'drinking', 'water', 'b', 'pest', 'control', 'infections', 'c', 'checking', 'of', 'electrical', 'lines']"
['psv'],"['segregation', 'of', 'wastes', 'must', 'be', 'done', 'from', 'collection', 'to', 'disposal']"
['psv'],"['where', 'appropriate', 'relevant', 'supporting', 'documents', 'in', 'terms', 'of', 'pictorials', 'communications', 'accomplishment', 'reportsaction', 'plan', 'programs', 'listings', 'duly', 'signed', 'may', 'be', 'provided']"
['psv'],"['room', 'utilization', 'guide', 'should', 'be', 'posted', 'near', 'the', 'entrance', 'of', 'the', 'classroom']"
