Course,Area,Level,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16,embedding_17,embedding_18,embedding_19,embedding_20,embedding_21,embedding_22,embedding_23,embedding_24,embedding_25,embedding_26,embedding_27,embedding_28,embedding_29,embedding_30,embedding_31,embedding_32,embedding_33,embedding_34,embedding_35,embedding_36,embedding_37,embedding_38,embedding_39,embedding_40,embedding_41,embedding_42,embedding_43,embedding_44,embedding_45,embedding_46,embedding_47,embedding_48,embedding_49,embedding_50,embedding_51,embedding_52,embedding_53,embedding_54,embedding_55,embedding_56,embedding_57,embedding_58,embedding_59,embedding_60,embedding_61,embedding_62,embedding_63,embedding_64,embedding_65,embedding_66,embedding_67,embedding_68,embedding_69,embedding_70,embedding_71,embedding_72,embedding_73,embedding_74,embedding_75,embedding_76,embedding_77,embedding_78,embedding_79,embedding_80,embedding_81,embedding_82,embedding_83,embedding_84,embedding_85,embedding_86,embedding_87,embedding_88,embedding_89,embedding_90,embedding_91,embedding_92,embedding_93,embedding_94,embedding_95,embedding_96,embedding_97,embedding_98,embedding_99
Accountancy,Area1,2,0.0934147,-0.004967385,-0.18865241,-0.004145623,-0.15284437,0.19590558,0.25587922,0.17493413,-0.08921259,-0.062079094,-0.4396918,0.13454568,0.04991039,0.3244906,-0.10535221,-0.19507574,0.03478581,-0.28489256,-0.20167716,-0.029439755,0.061225448,0.19517948,0.03401372,0.22763462,0.18602405,0.03787199,-0.33574107,0.26900983,-0.19649585,-0.17468125,-0.026905293,-0.0451963,0.1682955,0.061460257,0.023895113,-0.031449962,0.15443714,-0.4389595,-0.014616078,0.17826717,0.09909004,0.012690119,0.2739799,-0.15003116,0.1427554,0.09466433,0.14129157,0.10611265,0.32407242,-0.20496543,-0.1407165,-0.51367044,0.029037703,-0.024687428,0.11448303,0.024347154,-0.19519673,0.07839064,-0.08758394,0.32307243,-0.12834498,-0.05695723,-0.2771072,0.1733616,0.24361986,0.1454458,0.031212417,-0.1527872,-0.27206752,0.08206121,-0.111222245,-0.015175261,-0.05548672,-0.034755576,0.07182031,-0.017618164,0.03469591,-0.043924976,-0.053638354,-0.25864315,0.021616222,-0.11211335,-0.10316907,0.03315145,-0.3212358,-0.04088316,0.08052889,-0.3514587,-0.18136972,0.10810867,-0.37723416,0.35236344,0.081649505,-0.33169737,0.14479205,-0.06692843,-0.08390917,0.059289273,-0.14658701,-0.0063728173
Accountancy,Area1,2,0.13421156,-0.0024945836,-0.26167873,-0.0013327594,-0.21431828,0.27676028,0.36687934,0.24724609,-0.12589383,-0.09412885,-0.62690586,0.18344747,0.06942504,0.46041483,-0.14882179,-0.27449012,0.050533097,-0.4028297,-0.2894583,-0.037618075,0.08698304,0.2746114,0.049940746,0.31927735,0.2618969,0.050625976,-0.47083643,0.38173202,-0.28313434,-0.24821657,-0.040349025,-0.057969633,0.23789248,0.085463494,0.030724833,-0.050219424,0.21922716,-0.62299246,-0.018809102,0.25299245,0.14081118,0.011656469,0.388444,-0.21437842,0.20051168,0.12901759,0.20095223,0.14845353,0.4631534,-0.29275268,-0.20019469,-0.7250523,0.03663955,-0.0410371,0.16061899,0.036921363,-0.2801249,0.11159332,-0.1252602,0.4555462,-0.18132581,-0.08217612,-0.38722277,0.24220398,0.34176886,0.20355886,0.03961747,-0.21414413,-0.38941386,0.11887491,-0.15953264,-0.020233104,-0.08356536,-0.05059441,0.10312932,-0.021681704,0.04618144,-0.059741862,-0.0740203,-0.3710521,0.026504247,-0.15580143,-0.14585716,0.05043533,-0.45458075,-0.05853211,0.11097038,-0.4977265,-0.25209108,0.15596613,-0.53672606,0.49794275,0.12222156,-0.46984753,0.2071093,-0.09697158,-0.11666794,0.079416275,-0.20471087,-0.008958638
Accountancy,Area1,2,0.13137943,-0.003943016,-0.26256028,-0.0020563507,-0.21617596,0.28237313,0.3678345,0.24746138,-0.12481198,-0.09228723,-0.63132405,0.1889924,0.07210587,0.46545804,-0.14900608,-0.27378935,0.050207205,-0.40574104,-0.2938531,-0.041382357,0.08431408,0.27761993,0.050294273,0.32582846,0.26432824,0.05261928,-0.47783765,0.38687247,-0.2853493,-0.2501898,-0.039802182,-0.057271577,0.24520865,0.09113851,0.031863157,-0.050873157,0.21785039,-0.62955695,-0.015463773,0.24848753,0.14287408,0.015429361,0.39240026,-0.21753539,0.20681717,0.13186167,0.20602188,0.14943357,0.467922,-0.29386902,-0.19734517,-0.7322702,0.04071168,-0.03778215,0.15897779,0.03236063,-0.28460887,0.11477253,-0.12660967,0.45706245,-0.18469962,-0.08260298,-0.40232098,0.24534303,0.34600475,0.21147823,0.041558594,-0.21595015,-0.39664268,0.12351953,-0.15739436,-0.022124842,-0.081756055,-0.050263412,0.10473547,-0.025103658,0.046131693,-0.063548654,-0.07624047,-0.37261298,0.027611295,-0.15494299,-0.14690611,0.05502985,-0.45807815,-0.060612053,0.11220958,-0.50057393,-0.2583581,0.1601412,-0.5421861,0.5050696,0.11933452,-0.4739949,0.20783716,-0.09778186,-0.118326716,0.081741914,-0.2089254,-0.009740097
Accountancy,Area1,2,0.09055535,-0.0065070465,-0.18289113,-0.0010878935,-0.14348534,0.18504821,0.24531397,0.16942422,-0.087797746,-0.06490693,-0.42418793,0.1306531,0.046757374,0.3115422,-0.10066962,-0.18954015,0.030749286,-0.2769444,-0.19567761,-0.026385546,0.057446178,0.19277139,0.033009913,0.22119302,0.17806083,0.037099447,-0.32562864,0.25962162,-0.19319788,-0.16303608,-0.023266999,-0.044712037,0.16467129,0.05999342,0.023106627,-0.036099277,0.14929609,-0.42032906,-0.009630071,0.16965884,0.093800575,0.012416288,0.2637417,-0.14892115,0.14308508,0.08653942,0.1407426,0.099770024,0.31720844,-0.1984538,-0.13529125,-0.49372533,0.031750653,-0.020754505,0.10970965,0.024007846,-0.18860063,0.079003446,-0.084498405,0.31077975,-0.12413562,-0.057147328,-0.27026936,0.16717444,0.23106366,0.1413486,0.029310383,-0.14823817,-0.263584,0.07802847,-0.10717341,-0.013024108,-0.05936017,-0.035553332,0.07074237,-0.017893892,0.030487262,-0.04018182,-0.05117999,-0.24685535,0.015702542,-0.101035945,-0.09826892,0.033218946,-0.3061752,-0.036933873,0.07706489,-0.33832347,-0.17204216,0.102000095,-0.3674945,0.34079754,0.07583907,-0.31382713,0.14038524,-0.06874159,-0.07715985,0.05787979,-0.13784635,-0.004379333
Accountancy,Area1,3,0.10216737,-0.0055243,-0.20781675,9.324036e-05,-0.16496095,0.21222575,0.28255174,0.19291042,-0.10153668,-0.0725943,-0.48633566,0.1487947,0.052827682,0.35690346,-0.11399391,-0.21620494,0.03444817,-0.31833446,-0.2252696,-0.0310625,0.06544244,0.21587536,0.038363155,0.25023478,0.20326358,0.0416664,-0.36975446,0.29540285,-0.21856359,-0.18610498,-0.026451852,-0.050740387,0.18594651,0.06741582,0.02537628,-0.04102508,0.16965203,-0.48241982,-0.010534986,0.1949768,0.10680391,0.012202444,0.30210215,-0.16797979,0.15998591,0.09830819,0.15989222,0.11478208,0.36020082,-0.22429326,-0.15459655,-0.5627833,0.034567095,-0.025862461,0.124354966,0.027087655,-0.21639064,0.086886816,-0.09677024,0.35442394,-0.1420415,-0.066190384,-0.30848283,0.19376439,0.26606393,0.1615451,0.03419822,-0.17105721,-0.30116206,0.08937399,-0.12374439,-0.01708373,-0.06335905,-0.040389903,0.08208235,-0.020648254,0.03504397,-0.045582257,-0.059658933,-0.28224432,0.018718444,-0.11540178,-0.114414014,0.038536835,-0.35102093,-0.04160234,0.085881,-0.38426653,-0.19949202,0.11906866,-0.416646,0.38641912,0.08578244,-0.35910138,0.16184862,-0.07721806,-0.09104185,0.067160554,-0.16017185,-0.006093304
Accountancy,Area1,3,0.1021723,-0.004986495,-0.20965028,-0.0017773478,-0.1687969,0.21322508,0.28718942,0.19109881,-0.10156502,-0.075178124,-0.4874189,0.15018792,0.052580412,0.36243987,-0.116077624,-0.21645825,0.037227448,-0.3158147,-0.22302419,-0.02757066,0.07002635,0.21719229,0.036631178,0.2564728,0.20765229,0.040212646,-0.37514684,0.3014535,-0.21868035,-0.18932441,-0.026960002,-0.04822783,0.19080864,0.06837966,0.025339901,-0.03828641,0.17466645,-0.48633853,-0.010082063,0.19886129,0.10541016,0.012489271,0.30842632,-0.16742557,0.16458999,0.10583185,0.16276324,0.117151774,0.3604243,-0.22611654,-0.15527974,-0.57380414,0.034776103,-0.027452048,0.12836243,0.027741825,-0.21936956,0.08800397,-0.09811673,0.35928178,-0.14289314,-0.06411614,-0.31118435,0.19509073,0.2701975,0.16154909,0.038165253,-0.17161313,-0.30402622,0.092263706,-0.12422439,-0.019308453,-0.06240135,-0.037847247,0.078768805,-0.022227416,0.032259274,-0.049489316,-0.058484983,-0.2835173,0.018638665,-0.11829119,-0.11272551,0.03531073,-0.35528383,-0.04284898,0.08585941,-0.38721934,-0.20223282,0.11683813,-0.4212298,0.39116448,0.08843563,-0.36458334,0.15882885,-0.07766808,-0.09315982,0.06599306,-0.16455945,-0.0043224846
Accountancy,Area1,3,0.11680006,-0.0014257922,-0.23987874,0.0007112847,-0.1928951,0.24817449,0.32653713,0.22099759,-0.11776329,-0.08552664,-0.559142,0.17078711,0.06390026,0.4185241,-0.13274737,-0.24964967,0.042214535,-0.36645672,-0.25906718,-0.036082264,0.078005984,0.24531414,0.045739155,0.28460518,0.23151574,0.04787783,-0.42154038,0.34025604,-0.25221527,-0.21715039,-0.034200683,-0.057772733,0.2113688,0.07652273,0.028499786,-0.043841127,0.19819888,-0.5619537,-0.013449124,0.23242436,0.12562539,0.013056768,0.34783125,-0.1946447,0.17936444,0.1154348,0.17935967,0.12809311,0.41519022,-0.25981528,-0.18288867,-0.6517365,0.036821432,-0.032144435,0.14850304,0.03559992,-0.2504498,0.10466841,-0.1139601,0.41201922,-0.16284974,-0.073704086,-0.3554625,0.22221714,0.308977,0.18426844,0.041830998,-0.19579527,-0.34994906,0.10397201,-0.14041133,-0.021392612,-0.07287974,-0.048755653,0.08947117,-0.025932835,0.03379358,-0.053071633,-0.06589955,-0.32814714,0.022944905,-0.14020883,-0.13285853,0.046470385,-0.404276,-0.04436554,0.098407775,-0.44106483,-0.22588402,0.14022258,-0.4790602,0.443173,0.109853595,-0.41961467,0.18680254,-0.085099936,-0.10349584,0.07266883,-0.18558063,-0.004142462
Accountancy,Area10,2,0.11915491,-0.001919173,-0.24285445,0.00019189165,-0.19815813,0.25414827,0.3315168,0.22548842,-0.11901983,-0.0841431,-0.5690412,0.1792851,0.06249393,0.4229409,-0.13697894,-0.25165984,0.042965204,-0.37316352,-0.26236776,-0.037149075,0.0781396,0.24850126,0.04584059,0.29877067,0.24039738,0.04762407,-0.43383875,0.35113743,-0.25312585,-0.2257907,-0.03510479,-0.05731969,0.21889624,0.076732524,0.03145184,-0.045543917,0.20425193,-0.5697225,-0.015900366,0.23493831,0.12450905,0.014258738,0.35684988,-0.1928624,0.18903697,0.1210715,0.18410623,0.13626362,0.4210368,-0.26531056,-0.18353647,-0.6671693,0.039917354,-0.031731706,0.14640674,0.032710228,-0.25433117,0.102462985,-0.11500362,0.41707692,-0.16626054,-0.075601414,-0.36620757,0.22579956,0.31325597,0.18846695,0.043636035,-0.20179239,-0.35789147,0.10610851,-0.14194258,-0.02492677,-0.07119139,-0.048260402,0.09479119,-0.025349434,0.039515235,-0.057594307,-0.07069122,-0.32872272,0.02656891,-0.13878074,-0.13574375,0.044384047,-0.41538677,-0.050043724,0.10077833,-0.44966727,-0.2324615,0.14113262,-0.48647308,0.45690283,0.10931204,-0.42615572,0.18882719,-0.09050193,-0.10760208,0.0773322,-0.19099768,-0.0067142136
Accountancy,Area10,2,0.07176074,-0.0015439272,-0.1540553,-0.002002877,-0.121274546,0.163309,0.20947924,0.13906726,-0.07853204,-0.05462046,-0.36441532,0.113550216,0.04213451,0.27080244,-0.086715065,-0.1595838,0.0247943,-0.23922575,-0.16210192,-0.023830917,0.049725294,0.1609953,0.029737612,0.18632026,0.15211944,0.03281251,-0.27783218,0.22545838,-0.16100132,-0.14049625,-0.021310912,-0.038478516,0.13893512,0.0485918,0.021275973,-0.032013074,0.13066345,-0.35935897,-0.008389433,0.15027015,0.08003262,0.009906475,0.22850277,-0.12343835,0.116641946,0.07644576,0.11723774,0.08676142,0.26725468,-0.16702236,-0.11382076,-0.4253932,0.026128175,-0.022431025,0.09676976,0.018660607,-0.16182834,0.06376997,-0.070967115,0.2673466,-0.10666378,-0.04066213,-0.23477027,0.14624658,0.19859843,0.11897969,0.02688749,-0.12518862,-0.22783658,0.06952231,-0.09214222,-0.01701753,-0.04491743,-0.031044206,0.058427323,-0.01656846,0.03062682,-0.03460544,-0.045821354,-0.20953833,0.01961625,-0.08810334,-0.089707114,0.028560955,-0.264203,-0.034080837,0.06318198,-0.28518724,-0.14922847,0.09143834,-0.31524852,0.29106414,0.06878587,-0.2727144,0.12246591,-0.05850974,-0.0668883,0.044981852,-0.12057076,-0.0044688424
Accountancy,Area10,2,0.0798839,-0.0042310306,-0.16974428,0.0008241442,-0.13146979,0.17079335,0.21976495,0.14890826,-0.08275089,-0.057431594,-0.3818456,0.118788056,0.04723567,0.28059262,-0.09098171,-0.16853328,0.027834108,-0.24867728,-0.17434737,-0.025454044,0.053018082,0.17342071,0.033295367,0.19003694,0.15358597,0.033062417,-0.2926921,0.234716,-0.17003968,-0.1484465,-0.024681905,-0.04099281,0.146941,0.0502502,0.021479357,-0.028597219,0.13484594,-0.3794094,-0.003919094,0.15836416,0.08272304,0.008414238,0.23705843,-0.13371551,0.12253024,0.08017029,0.123259954,0.085945316,0.27697864,-0.17749378,-0.123946935,-0.4372691,0.027381405,-0.019908482,0.099236384,0.021587847,-0.17207032,0.06811947,-0.07771644,0.27968937,-0.110086426,-0.04400266,-0.24781238,0.15096888,0.20848984,0.12780902,0.028400302,-0.13536878,-0.23698354,0.07239524,-0.099602014,-0.015774203,-0.049576327,-0.033903684,0.066026986,-0.022334604,0.025977025,-0.037362073,-0.04886684,-0.22174303,0.014557426,-0.09385546,-0.091796786,0.028577212,-0.27403426,-0.029581027,0.07032926,-0.29593724,-0.15546657,0.09428409,-0.3313001,0.29975665,0.0712982,-0.2813875,0.12867835,-0.053644214,-0.07450197,0.05082535,-0.12559828,-0.005088703
