Course,Area,Level,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16,embedding_17,embedding_18,embedding_19,embedding_20,embedding_21,embedding_22,embedding_23,embedding_24,embedding_25,embedding_26,embedding_27,embedding_28,embedding_29,embedding_30,embedding_31,embedding_32,embedding_33,embedding_34,embedding_35,embedding_36,embedding_37,embedding_38,embedding_39,embedding_40,embedding_41,embedding_42,embedding_43,embedding_44,embedding_45,embedding_46,embedding_47,embedding_48,embedding_49,embedding_50,embedding_51,embedding_52,embedding_53,embedding_54,embedding_55,embedding_56,embedding_57,embedding_58,embedding_59,embedding_60,embedding_61,embedding_62,embedding_63,embedding_64,embedding_65,embedding_66,embedding_67,embedding_68,embedding_69,embedding_70,embedding_71,embedding_72,embedding_73,embedding_74,embedding_75,embedding_76,embedding_77,embedding_78,embedding_79,embedding_80,embedding_81,embedding_82,embedding_83,embedding_84,embedding_85,embedding_86,embedding_87,embedding_88,embedding_89,embedding_90,embedding_91,embedding_92,embedding_93,embedding_94,embedding_95,embedding_96,embedding_97,embedding_98,embedding_99,Reoccurs
ChemicalEngineering,Area1,1,0.06664425,0.00072373205,-0.0843423,0.01976326,-0.084170304,0.10290418,0.09140149,0.073519945,-0.050574303,-0.03597033,-0.20745791,0.08490113,0.032334488,0.13984476,-0.034672793,-0.11007857,0.074294865,-0.15835337,-0.10205569,0.008998008,-0.008507213,0.05327933,0.013606414,0.15959656,0.054709915,-0.013937945,-0.13913509,0.063842475,-0.0585093,-0.07099441,0.00898709,-0.105531365,0.08315697,-0.02051653,0.061329745,0.03342627,0.05467148,-0.18587233,0.0425439,0.07188802,0.06936262,-0.020717768,0.17699385,-0.09759896,0.062354684,0.049087472,0.036886103,0.06969163,0.16384794,-0.12827456,-0.021746976,-0.29209378,0.011984053,0.036559913,0.056723546,-0.014150729,-0.08234723,0.041777708,-0.016752413,0.16832277,-0.04810535,-0.0643671,-0.11292006,0.0479726,0.10196138,0.029716076,0.086971186,-0.10192344,-0.11806575,0.009433968,-0.07742509,-0.0036737071,-0.05889354,-0.035896286,0.07435805,-0.023006923,0.015025716,-0.0769598,-0.080238216,-0.041954573,0.038797125,-0.10412456,-0.042041022,0.026310422,-0.14057565,0.038118683,-0.009901786,-0.18094009,-0.08773169,0.043718934,-0.20026846,0.18850829,0.0072644185,-0.08545162,0.12691697,-0.045430824,-0.00096481066,0.09771775,-0.09417026,-0.032835286,1
ChemicalEngineering,Area1,1,0.060658038,-0.0006319737,-0.0776328,0.014766374,-0.077382006,0.09189593,0.085326605,0.0677929,-0.04527901,-0.03188771,-0.19110265,0.08058348,0.030232973,0.13317911,-0.032423705,-0.10452383,0.064347066,-0.1495587,-0.09540994,0.009312201,-0.005047301,0.050534423,0.012049001,0.14864676,0.054176826,-0.0138819525,-0.125558,0.059459172,-0.05030597,-0.06445606,0.0118511515,-0.09522851,0.07850316,-0.015873171,0.055461958,0.030492244,0.052727837,-0.16802964,0.03456568,0.06697108,0.06284359,-0.018445937,0.16461757,-0.086984925,0.059283003,0.04245076,0.037018307,0.06567328,0.1525054,-0.11647919,-0.02065634,-0.27139837,0.011584202,0.03523529,0.052235525,-0.0148155885,-0.07863883,0.03586109,-0.017304014,0.15215322,-0.042047203,-0.06089199,-0.104470834,0.046029925,0.09241787,0.030553522,0.08231517,-0.09211381,-0.11080025,0.0099954745,-0.07040168,-0.0049989047,-0.053555287,-0.03158259,0.069487244,-0.019443251,0.014806118,-0.06956378,-0.07549111,-0.04273216,0.03219914,-0.091752216,-0.03720027,0.02449168,-0.13031413,0.03592933,-0.012017872,-0.16383204,-0.08204921,0.038401745,-0.19037017,0.17320071,0.0046678465,-0.07861267,0.117080376,-0.039725166,0.0002938739,0.09359063,-0.08708692,-0.030406337,1
ChemicalEngineering,Area1,1,0.0558764,-0.00010800447,-0.06731377,0.01564931,-0.06827165,0.08544027,0.07750039,0.058884267,-0.040462445,-0.033382867,-0.17562108,0.07038512,0.024621906,0.117665514,-0.026123276,-0.09507305,0.05853876,-0.13369516,-0.08454935,0.0071995696,-0.0047837957,0.04737212,0.014156221,0.13448648,0.044311967,-0.013117036,-0.114173,0.05703252,-0.04890795,-0.057561856,0.006999058,-0.08715142,0.07100658,-0.016936451,0.052154582,0.02865536,0.04717362,-0.14944799,0.032024495,0.06427838,0.056249157,-0.018499395,0.1491219,-0.0784074,0.04926979,0.037821494,0.032104712,0.0620754,0.13837077,-0.105131276,-0.01776768,-0.24086978,0.0141752865,0.031103605,0.04772943,-0.012960821,-0.07243753,0.034054693,-0.0131940525,0.1356406,-0.037487682,-0.055140257,-0.09384105,0.039204538,0.08112435,0.028398858,0.072734,-0.08404323,-0.09908393,0.0067367735,-0.065547444,-0.0038179518,-0.046792362,-0.031395603,0.062482934,-0.016559793,0.010201701,-0.06131967,-0.066356555,-0.04174329,0.032005545,-0.08504768,-0.034212522,0.023226814,-0.11507932,0.032541547,-0.009963704,-0.14757362,-0.07378216,0.034682564,-0.17005882,0.15572381,0.0034458856,-0.07048543,0.10509371,-0.039071664,-0.003283027,0.08318628,-0.07878235,-0.027233522,1
ChemicalEngineering,Area1,1,0.041160043,-0.0012024281,-0.049660232,0.010089199,-0.049997184,0.06163096,0.055578608,0.04136885,-0.028816408,-0.023845555,-0.12527072,0.049634226,0.020027425,0.08767807,-0.020501701,-0.06752496,0.043097828,-0.09578254,-0.06114314,0.004765086,-0.0057197893,0.03347644,0.008370173,0.09705205,0.034930587,-0.01007609,-0.086558394,0.037957028,-0.03375512,-0.04123256,0.008250661,-0.06515434,0.04915697,-0.010676488,0.03716078,0.018487504,0.03139545,-0.11048575,0.022540273,0.044919945,0.040635776,-0.012203361,0.11444249,-0.054729752,0.038086537,0.029069448,0.024676064,0.04618701,0.09759529,-0.07652931,-0.015427583,-0.17818579,0.0059827412,0.022162996,0.034941733,-0.008945437,-0.052232705,0.026119955,-0.0130334925,0.10140962,-0.027973432,-0.039910622,-0.06877278,0.029756028,0.061407384,0.018611174,0.058779243,-0.05834378,-0.072895005,0.00846688,-0.051074658,-0.0011238767,-0.031288605,-0.019401038,0.044632502,-0.012903935,0.0068939845,-0.04175775,-0.046578083,-0.028040476,0.021480821,-0.060882263,-0.020977251,0.016920889,-0.08808365,0.021263408,-0.0074419845,-0.11126643,-0.05099945,0.024762256,-0.12559824,0.11412296,0.0050824913,-0.0537916,0.07676676,-0.025892057,-0.0027116572,0.06112131,-0.054662094,-0.022338213,1
ChemicalEngineering,Area1,1,0.03351418,-0.001191112,-0.039801735,0.007409691,-0.040275067,0.04756917,0.045058873,0.03204158,-0.027726118,-0.014242224,-0.09970119,0.039008874,0.016516877,0.06802852,-0.015376532,-0.05524878,0.035687067,-0.07501958,-0.046484027,0.008014152,-0.0019726255,0.026059944,0.0070408834,0.07738533,0.02609934,-0.007807786,-0.067231484,0.032940663,-0.029289808,-0.03622024,0.0072598653,-0.046785373,0.03945999,-0.009107066,0.026626226,0.015144137,0.025850568,-0.08883638,0.0155537035,0.03610652,0.031847112,-0.009441809,0.08825848,-0.044266585,0.027112197,0.023382146,0.020383071,0.035698324,0.07958467,-0.059071094,-0.011025307,-0.1375998,0.009046039,0.017865947,0.024888441,-0.010144951,-0.039370023,0.02328672,-0.008549299,0.08177637,-0.022454595,-0.032404985,-0.054272365,0.022016982,0.045972794,0.016847106,0.0417145,-0.046339985,-0.05210775,0.0069223987,-0.03891,-0.00069307035,-0.028623488,-0.015472464,0.034908924,-0.009060683,0.004331681,-0.03746308,-0.035750173,-0.025346482,0.019132564,-0.049813695,-0.016049664,0.014268437,-0.06640933,0.015763419,-0.005761975,-0.08494095,-0.040056992,0.019589383,-0.09691069,0.08847505,0.0051343744,-0.041330278,0.06210832,-0.01930156,-0.0021273321,0.050068863,-0.0437756,-0.0154962465,1
ChemicalEngineering,Area1,2,0.11285518,0.002071382,-0.13705684,0.03281022,-0.14143082,0.16836378,0.15240756,0.118310824,-0.08578503,-0.060681634,-0.34867218,0.13769965,0.057385962,0.23813507,-0.054557823,-0.18527773,0.11347942,-0.26931047,-0.16995199,0.016559782,-0.009334209,0.09779238,0.025325269,0.26593181,0.09305977,-0.027826568,-0.23123798,0.109526634,-0.09353931,-0.1213454,0.016338555,-0.171845,0.13703333,-0.0321066,0.10059855,0.05587033,0.09457227,-0.3005854,0.061247,0.12185539,0.11665443,-0.034104638,0.2973688,-0.15535617,0.10281225,0.07988812,0.0664667,0.12235506,0.275971,-0.21297982,-0.03822244,-0.48589325,0.018202016,0.062447615,0.099204585,-0.028024206,-0.14100651,0.068115,-0.03177571,0.2740009,-0.073903106,-0.11138775,-0.18798777,0.08139722,0.16619894,0.051755466,0.14805847,-0.16403681,-0.20450084,0.016032623,-0.1281052,-0.010877821,-0.096732095,-0.058766283,0.12701122,-0.03403286,0.023141796,-0.12671676,-0.13278955,-0.08023781,0.059092633,-0.16568679,-0.06865254,0.042293843,-0.23383573,0.06204755,-0.017472532,-0.29763383,-0.1439124,0.06708042,-0.3390051,0.30922824,0.014706594,-0.13976528,0.2100209,-0.07694797,0.0013838031,0.16680637,-0.15529802,-0.055592425,1
ChemicalEngineering,Area1,2,0.06688013,-0.0003423402,-0.08224117,0.019326936,-0.08169443,0.09620138,0.08884779,0.07361778,-0.04868837,-0.030604934,-0.20343798,0.082438596,0.03302371,0.13889182,-0.035829153,-0.11239048,0.06736527,-0.15687062,-0.100037634,0.014988302,-0.0053292923,0.054958805,0.017538873,0.15519868,0.057349086,-0.01671168,-0.13199098,0.06293112,-0.05637288,-0.071743816,0.011513072,-0.10157969,0.0823348,-0.02005001,0.06278753,0.03480568,0.056793254,-0.17662257,0.03491595,0.07242678,0.06308014,-0.018594943,0.17552453,-0.08863359,0.055021953,0.047335003,0.040347014,0.07056652,0.16439514,-0.121177666,-0.025492838,-0.2868657,0.01319922,0.035773095,0.05652863,-0.017366974,-0.083008125,0.036918413,-0.01800999,0.16087739,-0.04269679,-0.065837994,-0.10882037,0.045336902,0.09867472,0.02904627,0.091795504,-0.095400475,-0.11686751,0.008437424,-0.07606333,-0.006138224,-0.05332865,-0.03322151,0.075281195,-0.020148758,0.0144352345,-0.07347492,-0.07584528,-0.042158723,0.03749465,-0.10019239,-0.038131204,0.0282354,-0.13949673,0.038840868,-0.0049036737,-0.16896307,-0.08804064,0.04012112,-0.20162638,0.18384336,0.0073306058,-0.08510205,0.11974516,-0.045964766,-0.00059065205,0.09869969,-0.08686936,-0.032921065,1
ChemicalEngineering,Area1,2,0.049047828,0.0003533677,-0.062752955,0.0127420435,-0.066115014,0.07693928,0.06897835,0.05497485,-0.038153797,-0.028732697,-0.1605635,0.06421541,0.027018907,0.11047642,-0.024207203,-0.08559228,0.050876398,-0.12309359,-0.07460973,0.007689154,-0.0024423918,0.043160502,0.012548445,0.124238215,0.043989666,-0.012899527,-0.10812683,0.049909253,-0.043528873,-0.053450644,0.0114671085,-0.08304023,0.064271495,-0.014416509,0.047554016,0.024881762,0.044306017,-0.13793348,0.027692495,0.056074046,0.053293012,-0.015691388,0.13776028,-0.06990154,0.04514624,0.03921089,0.027974995,0.055689573,0.12590027,-0.09689036,-0.018381918,-0.22857857,0.0111037,0.028244125,0.043198146,-0.015271725,-0.064934805,0.030403078,-0.014241446,0.12629405,-0.032120664,-0.05011771,-0.0855739,0.03509591,0.07780833,0.022803238,0.06941532,-0.07355639,-0.09153605,0.0072558494,-0.060416725,-0.006573506,-0.04298908,-0.025850974,0.058585938,-0.015041773,0.010500567,-0.05949624,-0.06082014,-0.033549715,0.027790148,-0.076555595,-0.029125124,0.022369007,-0.10686393,0.02882926,-0.007338472,-0.13792163,-0.068298586,0.029712124,-0.15604213,0.14356679,0.004383429,-0.06570321,0.09882542,-0.03528718,-0.0027710176,0.077434555,-0.070391536,-0.02695357,1
ChemicalEngineering,Area1,3,0.041650962,0.0005177487,-0.050814502,0.013815623,-0.047153905,0.060910415,0.052751724,0.04138576,-0.02899273,-0.020640962,-0.12539615,0.049908765,0.019955486,0.08727575,-0.021037284,-0.0637768,0.03776555,-0.092848726,-0.06201545,0.004017079,-0.0051524886,0.033657845,0.008528408,0.09373078,0.030289654,-0.008829345,-0.08489529,0.03939576,-0.03431903,-0.044291016,0.0051315376,-0.06186618,0.051055647,-0.01109972,0.03694142,0.019948049,0.031321272,-0.10873688,0.022447146,0.047297385,0.044240072,-0.012432309,0.105856515,-0.05576307,0.036453847,0.029723248,0.025572155,0.042164188,0.097991414,-0.07554355,-0.013994412,-0.17340612,0.007903671,0.019761924,0.034825265,-0.0073522083,-0.050848827,0.023369463,-0.011718535,0.09949015,-0.027806418,-0.03774188,-0.06682195,0.028074702,0.05602101,0.018682944,0.05386073,-0.059122846,-0.071615264,0.004727662,-0.04874419,-0.002125517,-0.03322913,-0.01977857,0.04411484,-0.014475921,0.010471524,-0.044549935,-0.047193423,-0.024864187,0.02380369,-0.060628343,-0.026605094,0.013182595,-0.08560269,0.019457316,-0.0038089454,-0.10641249,-0.055379424,0.025560936,-0.121211275,0.10980762,0.006664514,-0.053690206,0.078691155,-0.026222887,-0.000692131,0.060742598,-0.05444899,-0.018566083,1
ChemicalEngineering,Area1,3,0.068134606,0.0016314983,-0.08550519,0.022491,-0.086604156,0.104053564,0.09431494,0.06989884,-0.05364379,-0.037331376,-0.21730576,0.08527014,0.03532156,0.14401442,-0.034284387,-0.11353381,0.0683064,-0.16802865,-0.10407498,0.011490893,-0.006700161,0.06100367,0.012599728,0.16783185,0.057090208,-0.015156551,-0.14325663,0.07253749,-0.056693565,-0.07658419,0.007650356,-0.107301585,0.08729055,-0.022103477,0.06424481,0.03631505,0.060223784,-0.1854424,0.031309947,0.07761149,0.07229293,-0.018077537,0.187666,-0.098042876,0.059524987,0.05093416,0.036035962,0.07272427,0.17006584,-0.1294865,-0.020057768,-0.29923305,0.014728389,0.03828664,0.05792236,-0.01764654,-0.089751534,0.039552007,-0.021674495,0.17190577,-0.04230487,-0.065278575,-0.11713611,0.052341506,0.1026681,0.034010775,0.09460609,-0.09908367,-0.12611738,0.010173822,-0.080642,-0.004559316,-0.05911716,-0.03920198,0.080020316,-0.02011513,0.014981095,-0.07434309,-0.07848373,-0.049161434,0.03694422,-0.106833674,-0.039899413,0.02524687,-0.14575085,0.039987203,-0.011086425,-0.18475229,-0.092067845,0.043344658,-0.21241766,0.19493288,0.006379359,-0.08580851,0.13377057,-0.04470992,-0.0038815746,0.102475934,-0.09685516,-0.0324374,1
